"Diagnosis outputs (Group: Pulmonary TB: HIV-negative, Children aged < 15 years; Mode: DiagPatient; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"    True cases found (%)","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362","25.582362"
"    TP:FP","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767","0.343767"
"Number of true positive cases missed","2.85281","4.643632","6.251405","8.113836","11.126936","11.708278","12.743503","16.597895","18.414402","19.909118","21.376879","22.805568","24.205994","25.572697","26.895465","28.179625"
"Number evaluated to confirm one TB case","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745","37.778745"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 0 to 9 years; Mode: DiagART; Severity: Patients with serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0.361622","0.548771","0.688201","1.177759","1.792584","2.667165","2.891144","3.293289","3.508621","3.588882","3.608153","3.607229","3.612651","3.626276","3.62924","3.59443"
"Number diagnosed with TB","0.033414","0.050706","0.063589","0.108824","0.165633","0.246444","0.267139","0.304297","0.324193","0.331609","0.33339","0.333305","0.333806","0.335064","0.335338","0.332122"
"    # True positives","0.023401","0.035511","0.044534","0.076213","0.115998","0.172593","0.187086","0.213109","0.227043","0.232237","0.233484","0.233424","0.233775","0.234657","0.234849","0.232596"
"    # False positives","0.010013","0.015195","0.019056","0.032611","0.049635","0.073851","0.080053","0.091188","0.09715","0.099372","0.099906","0.09988","0.10003","0.100408","0.10049","0.099526"
"    True cases found (%)","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322","70.033322"
"    TP:FP","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704","2.33704"
"Number of true positive cases missed","0.004457","0.006764","0.008483","0.014517","0.022095","0.032875","0.035635","0.040592","0.043246","0.044236","0.044473","0.044462","0.044529","0.044697","0.044733","0.044304"
"Number evaluated to confirm one TB case","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314","167.848314"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 10 to 14 years; Mode: DiagART; Severity: Patients with serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0.152236","0.229546","0.295295","0.504768","0.787854","1.196063","1.348042","1.587877","1.807515","1.934626","2.05266","2.164512","2.267081","2.36048","2.446069","2.521331"
"Number diagnosed with TB","0.031784","0.047925","0.061653","0.105387","0.164491","0.249718","0.281449","0.331522","0.377379","0.403918","0.428561","0.451914","0.473329","0.492829","0.510699","0.526412"
"    # True positives","0.028225","0.042559","0.054749","0.093587","0.146072","0.221756","0.249934","0.2944","0.335122","0.358689","0.380573","0.401311","0.420328","0.437645","0.453513","0.467467"
"    # False positives","0.003559","0.005366","0.006904","0.011801","0.018419","0.027962","0.031515","0.037122","0.042257","0.045228","0.047988","0.050603","0.053001","0.055184","0.057185","0.058945"
"    True cases found (%)","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558"
"    TP:FP","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611"
"Number of true positive cases missed","0.005376","0.008106","0.010428","0.017826","0.027823","0.042239","0.047606","0.056076","0.063833","0.068322","0.07249","0.07644","0.080062","0.083361","0.086383","0.089041"
"Number evaluated to confirm one TB case","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174"



"Diagnosis outputs (Group: HIV-positive patients evaluated for pulmonary TB, aged 15 years and above; Mode: DiagART; Severity: Patients with serious illness)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","2.963269","4.823431","6.493456","8.427999","11.557765","12.161616","13.236925","17.240556","19.127398","20.679989","22.20458","23.688588","25.143238","26.562858","27.936843","29.270725"
"Number diagnosed with TB","0.618681","1.007052","1.355725","1.759626","2.413069","2.539143","2.76365","3.599541","3.993482","4.317637","4.635946","4.945783","5.249489","5.545882","5.832748","6.11124"
"    # True positives","0.549405","0.894288","1.203919","1.562593","2.142867","2.254824","2.454191","3.196485","3.546314","3.834172","4.116839","4.391981","4.661681","4.924885","5.179629","5.426937"
"    # False positives","0.069276","0.112764","0.151807","0.197033","0.270202","0.284319","0.309458","0.403057","0.447168","0.483465","0.519107","0.553801","0.587809","0.620997","0.653119","0.684303"
"    True cases found (%)","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558","88.802558"
"    TP:FP","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611","7.930611"
"Number of true positive cases missed","0.104649","0.170341","0.229318","0.297637","0.408165","0.42949","0.467465","0.608854","0.675488","0.730319","0.78416","0.836568","0.887939","0.938073","0.986596","1.033702"
"Number evaluated to confirm one TB case","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174","188.156174"



"Diagnosis outputs (Group: Prisoners; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Diagnosis outputs (Group: Miners exposed to silica; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Diagnosis outputs (Group: People with risk factors for TB seeking health care in settings with >= 0.1% TB prevalence; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Diagnosis outputs (Group: Populations with structural risk factors for TB and limited access to health care; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Diagnosis outputs (Group: General population in settings with >= 0.5% general prevalence; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Diagnosis outputs (Group: People with untreated fibrotic lesions on chest x-ray; Mode: DiagHRG; Severity: undefined)"
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Number received diagnostic evaluation","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number diagnosed with TB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # True positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    # False positives","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    True cases found (%)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"    TP:FP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number of true positive cases missed","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Number evaluated to confirm one TB case","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"



"Patient-initiated programs "
"","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Pulmonary TB","","","","","","","","","","","","","","","",""
"    Any HIV status, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","269516.853902","276869.297646","283443.575509","288452.562307","291104.376021","290674.360272","286345.744407","277348.019027","263836.461445","269962.455124","283094.488399","292910.729115","303258.13611","313261.486632","324806.329278","337794.292527"
"        Number referred for diagnostic evaluation of TB disease","130649.270539","134213.390494","137400.292059","139828.412279","141113.881652","140905.427784","138807.112899","134445.42424","127895.643031","130865.237385","137231.035044","141989.490277","147004.285937","151853.405711","157449.763711","163745.674353"
"        Number diagnosed with TB disease","25367.353444","26059.376686","26678.157759","27149.611064","27399.203208","27358.729204","26951.312722","26104.431586","24832.701845","25409.289719","26645.297171","27569.216975","28543.004456","29484.531172","30571.144944","31793.586928"
"        Number initiated on treatment for TB disease","25367.353444","26059.376686","26678.157759","27149.611064","27399.203208","27358.729204","26951.312722","26104.431586","24832.701845","25409.289719","26645.297171","27569.216975","28543.004456","29484.531172","30571.144944","31793.586928"
"    Any HIV status, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","3676379.140677","3776749.925094","3866498.979345","3934913.976423","3971231.385509","3965411.31038","3906422.312358","3783870.107296","3599663.716988","3683294.324032","3862486.500876","3996448.745512","4166226.210987","4303680.51992","4462303.665882","4640744.613612"
"        Number referred for diagnostic evaluation of TB disease","1784019.094898","1832725.549587","1876277.647629","1909477.068664","1927100.644811","1924276.364212","1895651.05213","1836180.722749","1746791.759429","1787374.787594","1874330.526208","1939337.749823","2021724.856059","2088426.657202","2165400.959657","2251992.152944"
"        Number diagnosed with TB disease","346316.183263","355771.146057","364225.53818","370670.25482","374091.367794","373543.11487","367986.331105","356441.871755","339089.566595","346967.598868","363847.563963","376466.85384","392459.949865","405408.19339","420350.548656","437159.747674"
"        Number initiated on treatment for TB disease","346316.183263","355771.146057","364225.53818","370670.25482","374091.367794","373543.11487","367986.331105","356441.871755","339089.566595","346967.598868","363847.563963","376466.85384","392459.949865","405408.19339","420350.548656","437159.747674"
"    HIV-negative, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","269019.920458","276358.795112","282920.939799","287920.676676","290567.577629","290138.347392","285817.703572","276836.538748","263349.877619","269464.565241","282572.375608","292370.507122","302694.963875","312679.733269","324203.13349","337166.975634"
"        Number referred for diagnostic evaluation of TB disease","130555.367398","134116.923268","137301.532085","139727.904391","141012.445424","140804.139989","138707.331544","134348.772254","127803.695608","130771.153511","137132.373882","141887.407107","146897.865969","151743.474556","157335.780683","163627.133275"
"        Number diagnosed with TB disease","25336.834149","26028.024041","26646.059952","27116.945171","27366.235596","27325.809834","26918.882958","26073.018892","24802.818174","25378.711683","26613.231479","27536.039102","28508.417088","29448.802639","30534.099518","31755.060099"
"        Number initiated on treatment for TB disease","25336.834149","26028.024041","26646.059952","27116.945171","27366.235596","27325.809834","26918.882958","26073.018892","24802.818174","25378.711683","26613.231479","27536.039102","28508.417088","29448.802639","30534.099518","31755.060099"
"    HIV-negative, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","3673353.025207","3773641.179575","3863316.347893","3931675.016846","3967962.509289","3962147.217595","3903206.76597","3780755.407726","3596700.626335","3680262.384251","3859307.053779","3993159.021006","4162796.729164","4300137.886849","4458630.45747","4636924.517826"
"        Number referred for diagnostic evaluation of TB disease","1782678.223133","1831348.064448","1874867.423633","1908041.885675","1925652.205758","1922830.044699","1894226.243525","1834800.59937","1745478.81396","1786031.335077","1872921.713199","1937880.072894","2020205.252663","2086856.916488","2163773.36101","2250299.468501"
"        Number diagnosed with TB disease","345963.73462","355409.073575","363854.860277","370293.016437","373710.64505","373162.949248","367611.819633","356079.10581","338744.458389","346614.471873","363477.256939","376083.702916","392060.521546","404995.586459","419922.733745","436714.824938"
"        Number initiated on treatment for TB disease","345963.73462","355409.073575","363854.860277","370293.016437","373710.64505","373162.949248","367611.819633","356079.10581","338744.458389","346614.471873","363477.256939","376083.702916","392060.521546","404995.586459","419922.733745","436714.824938"
"    HIV-positive, Not on ART, Children aged 0-9 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","384.90725","395.417393","404.815326","411.979991","415.785243","415.176814","409.001947","396.174719","376.890798","385.648075","404.410292","418.437045","436.213499","450.605791","467.214342","485.897706"
"        Number referred for diagnostic evaluation of TB disease","44.264334","45.473","46.553762","47.377699","47.815303","47.745334","47.035224","45.560093","43.342442","44.349529","46.507184","48.12026","50.164552","51.819666","53.729649","55.878236"
"        Number diagnosed with TB disease","20.346197","20.901763","21.398538","21.777262","21.978408","21.946246","21.619843","20.941796","19.922448","20.385357","21.377128","22.118582","23.058246","23.819022","24.69695","25.684553"
"        Number initiated on treatment for TB disease","20.346197","20.901763","21.398538","21.777262","21.978408","21.946246","21.619843","20.941796","19.922448","20.385357","21.377128","22.118582","23.058246","23.819022","24.69695","25.684553"
"    HIV-positive, Not on ART, Children aged 10-14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","112.026193","115.085141","117.820384","119.90564","121.013148","120.836066","119.038888","115.305559","109.693027","112.241808","117.7025","121.784948","126.958736","131.147572","135.981446","141.419187"
"        Number referred for diagnostic evaluation of TB disease","49.638806","50.994226","52.206212","53.130189","53.620926","53.542461","52.746131","51.091893","48.60498","49.734345","52.153978","53.96291","56.255416","58.111489","60.253379","62.662842"
"        Number diagnosed with TB disease","10.173099","10.450882","10.699269","10.888631","10.989204","10.973123","10.809921","10.470898","9.961224","10.192679","10.688564","11.059291","11.529123","11.909511","12.348475","12.842276"
"        Number initiated on treatment for TB disease","10.173099","10.450882","10.699269","10.888631","10.989204","10.973123","10.809921","10.470898","9.961224","10.192679","10.688564","11.059291","11.529123","11.909511","12.348475","12.842276"
"    HIV-positive, Not on ART, Children and adults aged 10 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","3138.141664","3223.83066","3300.451836","3358.865218","3389.889368","3384.928851","3334.585277","3230.005129","3072.78368","3144.18159","3297.149597","3411.509454","3556.440559","3673.780643","3809.189857","3961.514973"
"        Number referred for diagnostic evaluation of TB disease","1390.510571","1428.479365","1462.430208","1488.313178","1502.059979","1499.861974","1477.554736","1431.215273","1361.550449","1393.186863","1460.966987","1511.639839","1575.858812","1627.852203","1687.852026","1755.347285"
"        Number diagnosed with TB disease","362.621741","372.523364","381.377172","388.127014","391.711948","391.138746","385.321394","373.236842","355.069429","363.319673","380.995588","394.210215","410.957441","424.516442","440.163386","457.765013"
"        Number initiated on treatment for TB disease","362.621741","372.523364","381.377172","388.127014","391.711948","391.138746","385.321394","373.236842","355.069429","363.319673","380.995588","394.210215","410.957441","424.516442","440.163386","457.765013"
"    HIV-positive, Not on ART, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","496.933444","510.502534","522.63571","531.885631","536.798392","536.01288","528.040835","511.480278","486.583826","497.889883","522.112791","540.221992","563.172235","581.753363","603.195788","627.316893"
"        Number referred for diagnostic evaluation of TB disease","93.90314","96.467226","98.759975","100.507888","101.436229","101.287795","99.781355","96.651986","91.947422","94.083874","98.661161","102.08317","106.419968","109.931155","113.983028","118.541078"
"        Number diagnosed with TB disease","30.519296","31.352645","32.097807","32.665894","32.967612","32.91937","32.429764","31.412693","29.883671","30.578036","32.065692","33.177873","34.587368","35.728533","37.045425","38.526829"
"        Number initiated on treatment for TB disease","30.519296","31.352645","32.097807","32.665894","32.967612","32.91937","32.429764","31.412693","29.883671","30.578036","32.065692","33.177873","34.587368","35.728533","37.045425","38.526829"
"    HIV-positive, Not on ART, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","3026.11547","3108.745519","3182.631452","3238.959578","3268.87622","3264.092785","3215.546388","3114.69957","2963.090653","3031.939782","3179.447098","3289.724507","3429.481824","3542.633071","3673.208411","3820.095786"
"        Number referred for diagnostic evaluation of TB disease","1340.871765","1377.485139","1410.223996","1435.182989","1448.439053","1446.319513","1424.808605","1380.123379","1312.945468","1343.452517","1408.813009","1457.676929","1519.603396","1569.740714","1627.598647","1692.684443"
"        Number diagnosed with TB disease","352.448643","362.072482","370.677903","377.238383","380.722744","380.165623","374.511472","362.765944","345.108205","353.126994","370.307024","383.150924","399.428319","412.606931","427.81491","444.922736"
"        Number initiated on treatment for TB disease","352.448643","362.072482","370.677903","377.238383","380.722744","380.165623","374.511472","362.765944","345.108205","353.126994","370.307024","383.150924","399.428319","412.606931","427.81491","444.922736"
"Extra-Pulmonary TB","","","","","","","","","","","","","","","",""
"    Any HIV status, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","111432.883623","114475.619249","117197.090709","119270.935343","120372.526629","120195.965424","118409.029367","114693.946884","109113.086618","111648.39243","117080.213595","121141.077701","126287.512292","130454.202853","135262.519608","140671.512028"
"        Number referred for diagnostic evaluation of TB disease","44015.989031","45217.869603","46292.85083","47112.01946","47547.148019","47477.406342","46771.5666","45304.109019","43099.669214","44101.11501","46246.68437","47850.725692","49883.567356","51529.410127","53428.695245","55565.247251"
"        Number diagnosed with TB disease","7728.984808","7940.028951","8128.790212","8272.632075","8349.038447","8336.792162","8212.850277","7955.172156","7568.083688","7743.932499","8120.683615","8402.345149","8759.301853","9048.30351","9381.80836","9756.976074"
"        Number initiated on treatment for TB disease","7728.984808","7940.028951","8128.790212","8272.632075","8349.038447","8336.792162","8212.850277","7955.172156","7568.083688","7743.932499","8120.683615","8402.345149","8759.301853","9048.30351","9381.80836","9756.976074"
"    Any HIV status, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","1200291.166768","1233065.771318","1262379.90237","1284718.168366","1296583.878447","1294682.062314","1275434.211096","1235417.471486","1175303.642764","1202612.504142","1261120.969073","1304862.270174","1360296.714478","1405177.917515","1456970.35023","1515232.917002"
"        Number referred for diagnostic evaluation of TB disease","474115.010873","487060.97967","498640.061436","507463.676504","512150.631986","511399.414614","503796.513383","487989.901237","464244.938892","475031.939136","498142.782784","515420.596719","537317.202219","555045.277418","575503.288341","598517.002216"
"        Number diagnosed with TB disease","83252.195327","85525.441899","87558.670028","89108.052158","89931.057809","89799.147842","88464.116882","85688.555822","81519.060662","83413.203287","87471.350415","90505.247059","94350.180116","97463.140359","101055.463492","105096.555123"
"        Number initiated on treatment for TB disease","83252.195327","85525.441899","87558.670028","89108.052158","89931.057809","89799.147842","88464.116882","85688.555822","81519.060662","83413.203287","87471.350415","90505.247059","94350.180116","97463.140359","101055.463492","105096.555123"
"    HIV-negative, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","111332.532983","114372.52848","117091.549125","119163.526162","120264.125413","120087.723209","118302.396374","114590.6595","109014.825066","111547.847714","116974.777264","121031.984367","126173.784349","130336.722605","135140.709241","140544.830604"
"        Number referred for diagnostic evaluation of TB disease","43976.350528","45177.14875","46251.161904","47069.592834","47504.329538","47434.650668","46729.446568","45263.310503","43060.855901","44061.399847","46205.037019","47807.633825","49838.644818","51483.005429","53380.58015","55515.208089"
"        Number diagnosed with TB disease","7722.024488","7932.878575","8121.469847","8265.182175","8341.519739","8329.284482","8205.454212","7948.008143","7561.268267","7736.958717","8113.370551","8394.778436","8751.413682","9040.15508","9373.359593","9748.189451"
"        Number initiated on treatment for TB disease","7722.024488","7932.878575","8121.469847","8265.182175","8341.519739","8329.284482","8205.454212","7948.008143","7561.268267","7736.958717","8113.370551","8394.778436","8751.413682","9040.15508","9373.359593","9748.189451"
"    HIV-negative, Adults aged 15 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","1199132.278728","1231875.239208","1261161.067298","1283477.765569","1295332.019239","1293432.039321","1274202.772014","1234224.668797","1174168.880323","1201451.374838","1259903.349509","1303602.418132","1358983.34016","1403821.210136","1455563.636959","1513769.950888"
"        Number referred for diagnostic evaluation of TB disease","473657.250098","486590.719487","498158.621583","506973.7174","511656.147599","510905.655532","503310.094946","487518.744175","463796.707727","474573.293061","497661.823056","514922.955162","536798.419363","554509.378004","574947.636599","597939.130601"
"        Number diagnosed with TB disease","83171.814853","85442.866591","87474.131628","89022.01782","89844.228854","89712.446247","88378.704267","85605.823028","81440.353539","83332.667359","87386.896322","90417.863722","94259.084473","97369.039135","100957.89386","104995.083794"
"        Number initiated on treatment for TB disease","83171.814853","85442.866591","87474.131628","89022.01782","89844.228854","89712.446247","88378.704267","85605.823028","81440.353539","83332.667359","87386.896322","90417.863722","94259.084473","97369.039135","100957.89386","104995.083794"
"    HIV-positive, Not on ART, Children aged 0-9 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","66.900427","68.727179","70.361056","71.60612","72.267478","72.161476","71.088662","68.858256","65.507701","67.029811","70.290887","72.728889","75.818629","78.320165","81.206911","84.454282"
"        Number referred for diagnostic evaluation of TB disease","26.425669","27.147236","27.792617","28.284418","28.545654","28.503783","28.080022","27.199011","25.875542","26.476775","27.7649","28.727911","29.948359","30.936465","32.07673","33.359441"
"        Number diagnosed with TB disease","4.640214","4.766917","4.880243","4.966601","5.012472","5.00512","4.93071","4.776009","4.543614","4.649188","4.875376","5.044476","5.25878","5.432287","5.632511","5.857749"
"        Number initiated on treatment for TB disease","4.640214","4.766917","4.880243","4.966601","5.012472","5.00512","4.93071","4.776009","4.543614","4.649188","4.875376","5.044476","5.25878","5.432287","5.632511","5.857749"
"    HIV-positive, Not on ART, Children aged 10-14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","33.450213","34.36359","35.180528","35.80306","36.133739","36.080738","35.544331","34.429128","32.753851","33.514905","35.145444","36.364444","37.909315","39.160083","40.603456","42.227141"
"        Number referred for diagnostic evaluation of TB disease","13.212834","13.573618","13.896309","14.142209","14.272827","14.251892","14.040011","13.599506","12.937771","13.238388","13.88245","14.363956","14.974179","15.468233","16.038365","16.679721"
"        Number diagnosed with TB disease","2.320107","2.383459","2.440121","2.4833","2.506236","2.50256","2.465355","2.388004","2.271807","2.324594","2.437688","2.522238","2.62939","2.716143","2.816256","2.928875"
"        Number initiated on treatment for TB disease","2.320107","2.383459","2.440121","2.4833","2.506236","2.50256","2.465355","2.388004","2.271807","2.324594","2.437688","2.522238","2.62939","2.716143","2.816256","2.928875"
"    HIV-positive, Not on ART, Children and adults aged 10 years and above","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","1192.338253","1224.895699","1254.0156","1276.205856","1287.992946","1286.103731","1266.983413","1227.231817","1167.516292","1194.64421","1252.765008","1296.216487","1351.283633","1395.867461","1447.316726","1505.193256"
"        Number referred for diagnostic evaluation of TB disease","470.97361","483.833801","495.336162","504.101313","508.757214","508.010974","500.458448","484.756568","461.168935","471.884463","494.842178","512.005512","533.757035","551.367647","571.690107","594.551336"
"        Number diagnosed with TB disease","82.700581","84.958766","86.978522","88.517638","89.335191","89.204155","87.87797","85.120799","80.97893","82.860522","86.891781","89.905576","93.725033","96.817367","100.385888","104.400204"
"        Number initiated on treatment for TB disease","82.700581","84.958766","86.978522","88.517638","89.335191","89.204155","87.87797","85.120799","80.97893","82.860522","86.891781","89.905576","93.725033","96.817367","100.385888","104.400204"
"    HIV-positive, Not on ART, Children aged 0 to 14 years","","","","","","","","","","","","","","","",""
"        Number clinically assessed for TB disease","100.35064","103.090769","105.541584","107.409181","108.401216","108.242215","106.632993","103.287384","98.261552","100.544716","105.436331","109.093333","113.727944","117.480248","121.810367","126.681423"
"        Number referred for diagnostic evaluation of TB disease","39.638503","40.720854","41.688926","42.426626","42.81848","42.755675","42.120032","40.798517","38.813313","39.715163","41.647351","43.091867","44.922538","46.404698","48.115095","50.039162"
"        Number diagnosed with TB disease","6.96032","7.150376","7.320364","7.449901","7.518708","7.50768","7.396064","7.164013","6.815421","6.973782","7.313064","7.566714","7.88817","8.14843","8.448767","8.786624"
